x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
2457,-2339.527175404359,-0.019209690136773743,-0.020010632470117067,-0.019253598632918333,-0.01925127106786208,discovery
2479,-2360.373812039846,-0.019123439112285066,-0.019951481406502908,-0.019166537312009305,-0.01916463360741977,discovery
2500,-2380.5257805152532,-0.019044206244122026,-0.01989562673228077,-0.01908615250927519,-0.01908503025494953,discovery
2522,-2401.9034414412963,-0.01896434821548941,-0.01983773689780861,-0.0190050117914248,-0.019004828699032996,discovery
2544,-2423.5767980848823,-0.01888778913945478,-0.019780474171528284,-0.018927248449110905,-0.018927869524844453,discovery
2566,-2445.5404441864302,-0.01881437827280294,-0.019723826692835025,-0.01885303749926199,-0.018854121720255853,discovery
2588,-2467.7979487902185,-0.018744039505269195,-0.01966778292062376,-0.018782426773870407,-0.018783517535229385,discovery
2611,-2491.4127424762164,-0.01867391482612471,-0.01960982500767758,-0.01871234810380221,-0.018713174899127917,discovery
2633,-2514.369940441046,-0.018610279143391757,-0.019554981426343394,-0.01864870012802575,-0.01864919685908606,discovery
2656,-2538.6840335057177,-0.018546695662723423,-0.019498254681039585,-0.018585513862727505,-0.01858547573476832,discovery
2679,-2563.363309881621,-0.018486346688733245,-0.019442139558165213,-0.018525696210915137,-0.018525019047040698,discovery
2703,-2589.58862238017,-0.01842730014575389,-0.01938422429214993,-0.01846694550661657,-0.018465783742538593,discovery
2726,-2615.1800801186946,-0.01837438543849563,-0.019329323552461145,-0.018414276113725106,-0.018412855344014135,discovery
2750,-2642.4205645696675,-0.01832326656996651,-0.01927265141488323,-0.018363170017777167,-0.01836173466928706,discovery
2774,-2670.2545207759813,-0.01827649760657302,-0.01921659609659064,-0.018315954766692056,-0.01831489404142757,discovery
2798,-2698.670765434901,-0.018233848378567848,-0.01916114588588883,-0.018272512262100426,-0.018272116540291972,discovery
2822,-2727.6214684323413,-0.018194854453835833,-0.019106289387686992,-0.018232706088864625,-0.01823302936244554,discovery
2847,-2758.3146381206825,-0.018157773878909742,-0.019049766584232956,-0.018194970434378444,-0.018195818969632398,discovery
2871,-2788.2788059565237,-0.01812535030665261,-0.018996088133432856,-0.018162205544910597,-0.018163235695632482,discovery
2896,-2820.0593806466186,-0.018095076223273835,-0.018940769357432528,-0.018131585930457206,-0.01813273384147844,discovery
2921,-2852.467024087915,-0.018068549798141462,-0.018886047635184065,-0.0181045180142034,-0.018105913122321897,discovery
2947,-2886.8044353721216,-0.018044595876101212,-0.018829758322506784,-0.018080199792284275,-0.018081785691216372,discovery
2972,-2920.4687684051023,-0.018025169553992915,-0.018776220068970943,-0.018060634839910068,-0.018062148084349722,discovery
2998,-2956.2257872332466,-0.018009023229682414,-0.018721138232740336,-0.018044402990631262,-0.018045673662422858,discovery
3024,-2992.7861343644636,-0.017997119603410064,-0.018666654580143625,-0.018032445174823063,-0.018033524974173185,discovery
3050,-3030.194335215081,-0.01798956752737776,-0.018612757786828114,-0.018024724073422847,-0.018025729772895027,discovery
3077,-3069.9261673988476,-0.017986086856250857,-0.018557397380971702,-0.018021013417636195,-0.01802198274173376,discovery
3104,-3110.5320792737984,-0.017986725869497587,-0.01850264596018966,-0.01802138331618467,-0.018022396605754824,discovery
3131,-3152.0110780569576,-0.01799132437564583,-0.01844849185039888,-0.01802543118736258,-0.018026686997613586,discovery
3158,-3194.2753779059367,-0.017999239897181413,-0.018394923695967864,-0.01803271599794484,-0.01803432256992971,discovery
3185,-3237.2221111532235,-0.018009777320619296,-0.018341930448479243,-0.01804280730725037,-0.018044549791545694,discovery
3213,-3282.3513341869702,-0.018022663604315408,-0.01828757023463565,-0.018055809855062045,-0.018057168528207913,discovery
3241,-3328.028678623323,-0.018037174776860985,-0.018233805074298056,-0.01807097606458451,-0.01807147292452311,discovery
3269,-3374.270681999149,-0.018053339014580054,-0.0181806236200932,-0.018087873544612505,-0.018087336063575345,discovery
3297,-3421.016787821416,-0.018070775256145782,-0.018128014832528905,-0.01810605037422629,-0.01810453517818178,discovery
3326,-3469.924374762335,-0.01808991983673805,-0.0180741194133027,-0.018125727396171864,-0.018123449443311894,discovery
3355,-3519.280073097083,-0.01810985794506391,-0.018020815163415638,-0.01814574580594971,-0.018143192251511096,discovery
3384,-3569.006961999692,-0.018130169467356346,-0.017968090790093035,-0.018165560004253605,-0.018163267344855072,discovery
3413,-3618.945763415989,-0.018150042321147343,-0.017915935307442517,-0.018184623142910018,-0.018182857887067853,discovery
3443,-3670.6128960631554,-0.01816908480603174,-0.017862568638415118,-0.0182030175432961,-0.018201695594015372,discovery
